"name","Q1","Q2","Q3","Q4","Q5"
"BIS",-2.48058515131979,-1.35466717711466,0.0680814299268547,1.23275582199695,2.57741146512764
"BAS",-2.77554024024547,-1.43034194159061,-0.033826348056001,1.33808505399684,3.08740068366008
"de2",-0.418769222256304,-0.332352372847416,-0.115932220207748,0.343429245840496,0.997011221371672
"de3",-0.465341489139731,-0.378711099624335,-0.0778264254072413,0.397352788119772,1.01687061589512
"de4",-0.47205503696353,-0.39548887064748,-0.0996922970965742,0.44101215811703,1.07892619382998
"de5",-0.481096453450363,-0.38860023939994,-0.104840284209956,0.447318601808069,1.06000228642455
"de6",-0.487897805624265,-0.420197198214997,-0.102192132484333,0.485033369327996,0.910144368240312
"leeftijd_target_11",12.3181186198823,12.5951422188697,13.0047912388775,13.4017796030116,14.1850553827263
"leeftijd_moeder_11",36.0587840285176,39.975813911256,44.580424366872,48.8323066392882,52.5601765348271
"leeftijd_sibling_11",8.95297835937476,11.1622176591376,15.1622176591376,17.5797399041752,21.5398973959577
"leeftijd_vader_11",37.8316221765914,42.1629021218344,46.3299110198494,51.3822133916322,58.6666666666667
"d_sib_age",-7.9726214921287,-4.5010266940452,-2.198494182067,1.92368050529189,3.81175860131735
"d_par_age",-4.93922519704079,-0.412386870794925,1.7549623545517,4.8377823408624,10.5719221761529
"balancedrelated",-2.57515009619872,-1.16679367505228,-0.351000422510231,1.4848723536908,2.7883152633767
"extraversion",-4.65294785459157,-2.58211853732688,-0.0829732944575632,2.52671704351373,5.61221815524245
"agreeableness",-3.37499249593018,-1.6822338780803,-0.257339025973481,1.93980652967932,3.9497905855353
"conscientious",-5.22178642549984,-2.83903689975481,-0.15870655385322,2.94954721461106,5.6184652445576
"neuroticism",-4.73818655301619,-2.65659275889878,-0.19120014342155,2.6315768662842,5.83421861168339
"openness",-5.09455080455993,-2.37700557216211,0.176337423908255,2.40997236959986,4.12698313016662
"externalizing",-2.69188394800614,-1.94196042750106,-0.339929323520179,1.9054771343215,4.86328696602714
"conflict_parents",-3.8782282435587,-1.06162038679655,0.419024500185483,1.27622447530563,1.70131605580149
"CRSI_en_ab",-3.21294617339124,-1.15936803738426,0.388579556104867,1.01214077508372,1.01214077508372
"CRSI_ps_ab",-3.70560580314071,-1.92458906712929,-0.14357233111788,1.97436689582944,4.178614875387
"CRSI_wi_ab",-1.52944030388554,-1.52944030388554,-0.154431376984009,1.60563164850132,3.02373693003986
"CRSI_co_ab",-2.58817942299802,-1.16530670994472,0.129581648582135,1.30049257107629,1.84028235865787
"CRSI_en_av",-1.67626050341051,-1.67626050341051,-0.243935656183455,1.47125047910812,3.67910514540739
"CRSI_ps_av",-3.59175726254046,-1.92381130828119,0.0354957020457616,1.79370934730479,3.35666849020233
"CRSI_wi_av",-2.9328008677751,-1.60628485063884,-0.038169807987612,1.72424835846065,2.50294710417243
"CRSI_co_av",-2.26109301512392,-1.45917336437389,-0.0872684573604428,1.32555833254284,2.84381088055777
"CRSI_en_am",-1.44014786611169,-1.44014786611169,-0.320318055330195,1.48686350888244,3.68148608511388
"CRSI_ps_am",-3.21876133865987,-1.88239508849308,0.0661798539609378,1.81992847854199,3.42888582819291
"CRSI_wi_am",-3.28887792141943,-1.55493325093572,0.0142373481948236,1.72967227352222,2.57282806764172
"CRSI_co_am",-2.74474692499448,-1.21655599032449,0.0107700829361418,1.43484635319059,2.20583081858988
"dailyhassles",-3.39216795663495,-2.36922757488784,-0.343572638056905,2.27503600168533,5.08792248138182
"DMD_happy",-6.45018221550454,-2.99422316706077,0.364922610066186,3.91769492982677,3.91769492982677
"DMD_angry",-1.63563374071052,-1.63563374071052,-1.63563374071052,1.8208081839081,7.26380018181835
"DMD_anxious",-1.48722518678485,-1.48722518678485,-1.48722518678485,1.95962319636051,7.77746005369066
"DMD_sad",-8.7425006224572,-1.70235924609548,1.25107651620726,1.25107651620726,1.25107651620726
"DMD_guilt",-1.02960550471628,-1.02960550471628,-1.02960550471628,1.71298391940259,5.98875149403553
"DMD_tired",-3.57515830700879,-3.57515830700879,-0.55210898573109,3.63234657946358,7.58338986684366
"DMD_tense",-2.27567595783264,-2.27567595783264,-1.53539335857229,3.23866417694372,6.92385789549673
"delinquency",-1.02354268977699,-1.02354268977699,-0.537057631784433,1.18163161445342,3.9698074896108
"peer_delinq",-0.509634568927588,-0.509634568927588,-0.509634568927588,0.781391672215559,1.38544708747817
"peer_contact",-2.31489007602957,-0.947481143979214,0.0507438830792447,0.913279028282691,1.7558579123822
"conflictfrequency",-5.1621422307111,-3.11210971222946,0.0722189338140437,3.21846136899247,5.47771111147923
"conflictemo",-3.415199100858,-1.71716044180383,-0.0461216501714116,1.81642727861776,3.64068830033689
"IRI_emp_aa",-2.83148846135723,-1.40584180076186,-0.0362514728680675,1.57938556826579,2.86193812875446
"IRI_pet_aa",-2.97393282056963,-1.53769711452623,0.0467996896267737,1.37284117680839,3.24981026218925
"IRI_fan_aa",-3.51782316168428,-1.60340981865115,-0.00179943933313356,1.54327200086464,3.49932844355998
"IRI_ped_aa",-2.93791635005332,-1.51226596219778,-0.00613229602359283,1.40455738959087,3.2034867054268
"tolerance",-3.58345750402723,-1.798076310243,0.117803938797949,1.78736285943759,2.8130542231299
"intrusiveness",-2.42342298841683,-1.27663173864484,-0.0715185589795142,1.40354263040073,3.01993646216176
"emotionalresponse",-3.02718105609237,-2.29479425552161,0.223833970209314,2.22802262376978,2.96820060624271
"annoyed",-1.47346025401621,-1.23073340299311,-0.123393443882798,1.19122888046734,2.6533731185231
